step,q,dq,qr,tau,r_pos,r_vel,th,dth
24,"[[-0.5429859949683634], [1.152790170053372], [-0.5082533150757736]]","[[-0.09188502257882826], [0.011641018787660884], [0.10961852871843453]]","[[-0.5436715979282231], [0.980284254144644], [-0.516683601345169]]","[[-1.6019021108916094], [-21.774163088775367], [-1.7078570380529958]]","[[0.9918858001582299], [0.8353371054161116]]","[[0.007750562867470112], [-0.00023295205591189472]]",[[0.10155086000923594]],[[0.029374524927267262]]
25,"[[-0.5439186056571021], [1.152896407698294], [-0.5071555009907781]]","[[-0.09163184959008105], [0.009600623935991065], [0.10945802530043142]]","[[-0.5445202139706954], [0.9800244533920811], [-0.5162330097400517]]","[[-1.6094931372996673], [-21.815888328493163], [-1.8034620511089534]]","[[0.9926560237930507], [0.8353157291079705]]","[[0.007657650335279875], [-0.00019731850116055938]]",[[0.10182230105041487]],[[0.027426799647480272]]
26,"[[-0.544848061168535], [1.1529828445719088], [-0.5060598671046944]]","[[-0.09130103920031847], [0.007677491834369443], [0.10919586361206682]]","[[-0.5453570391795143], [0.9797647627061223], [-0.5157711545581448]]","[[-1.6163481872996446], [-21.855779015634052], [-1.8960413906882498]]","[[0.99341684822928], [0.8352977949625127]]","[[0.007562818768380719], [-0.00016397362979647667]]",[[0.10207491629867924]],[[0.025572316246117697]]
27,"[[-0.5457736123371815], [1.1530506263089064], [-0.5049673943446362]]","[[-0.09089804151702992], [0.005866465905530471], [0.10883877963561459]]","[[-0.5461819581912009], [0.9795054944379938], [-0.5152991160808955]]","[[-1.622503722207846], [-21.8939027529316], [-1.9856766623366828]]","[[0.9941680938707337], [0.8352830803886914]]","[[0.007466294072577817], [-0.00013279819850442465]]",[[0.10230961962708962]],[[0.023807204026392574]]
28,"[[-0.5466945634622954], [1.153100847936391], [-0.5038789977689085]]","[[-0.0904280393342809], [0.0041625687666144995], [0.10839321867322663]]","[[-0.5469948793014194], [0.9792469361626253], [-0.51481792478843]]","[[-1.6279949216885627], [-21.93032544857532], [-2.072449008003452]]","[[0.9949096031227392], [0.8352713744480673]]","[[0.00736829125173033], [-0.00010367816296596999]]",[[0.10252728670518883]],[[0.022127748106698913]]
29,"[[-0.5476102696707126], [1.1531345556459118], [-0.5027955294366411]]","[[-0.08989595941652596], [0.0025609986949925168], [0.10786534305677069]]","[[-0.5477957329607377], [0.9789893520079278], [-0.514328562851613]]","[[-1.6328557147295462], [-21.96511133035747], [-2.15643897589042]]","[[0.9956412393174503], [0.8352624773418572]]","[[0.007269014699684551], [-7.650453973662152e-05]]",[[0.10272875653855841]],[[0.020530382336375892]]
30,"[[-0.5485201343908288], [1.1531527485289412], [-0.5017177811992343]]","[[-0.08930648325737348], [0.0010571258601423938], [0.10726104001776143]]","[[-0.5485844703387739], [0.9787329839416233], [-0.5138319656068117]]","[[-1.63711880960529], [-21.998322959906893], [-2.2377263998999437]]","[[0.996362885668495], [0.8352561999121751]]","[[0.0071686584943830844], [-5.117326157266788e-05]]",[[0.1029148329388781]],[[0.019011682620530403]]
31,"[[-0.5494236069331114], [1.153156380274327], [-0.50064648741289]]","[[-0.08866405743977522], [-0.0003535115138412759], [0.10658592955716024]]","[[-0.54936106195627], [0.9784780530141777], [-0.5133290230126578]]","[[-1.640815723574329], [-22.030021246475954], [-2.3163902893464163]]","[[0.9970744442552127], [0.8352523631580787]]","[[0.007067406694705181], [-2.7585027184695576e-05]]",[[0.10308628592832611]],[[0.017568360603543703]]
32,"[[-0.5503201801726241], [1.1531463608265335], [-0.4995823275718837]]","[[-0.08797290351453468], [-0.0016752111473691822], [0.10584537238458289]]","[[-0.5501254963800098], [0.9782247605571558], [-0.512820581088174]]","[[-1.643976811741373], [-22.060265461277616], [-2.3925087276958728]]","[[0.997775835036644], [0.8352507977668707]]","[[0.006965433638317364], [-5.645147149735408e-06]]",[[0.1032438530820263]],[[0.016197257722679003]]
33,"[[-0.5512093883295471], [1.1531235580037136], [-0.498525928862355]]","[[-0.08723702752559871], [-0.0029121107599033857], [0.10504447784398259]]","[[-0.55087777898379], [0.9779732893363204], [-0.5123074433315392]]","[[-1.646631295802849], [-22.08911325205428], [-2.4661587804130685]]","[[0.9984669948953657], [0.8352513436609618]]","[[0.006862904240156897], [1.4736612463650545e-05]]",[[0.10338824081181186]],[[0.014895339558480396]]
